f-no v-id wid hei x-top y-left lane date time
0 5 342.0 447.1875 0.0 497.8125 fast 22/10/2020 10:08:43
55 9 321.0 385.3125 1065.0 427.5 slow 22/10/2020 10:08:47
58 4 342.0 371.25 36.0 427.5 fast 22/10/2020 10:08:47
68 13 270.0 337.5 1482.0 435.9375 shoulder 22/10/2020 10:08:47
98 3 363.0 455.625 453.0 427.5 medium 22/10/2020 10:08:48
130 15 342.0 413.4375 450.0 455.625 medium 22/10/2020 10:08:50
131 8 246.0 340.3125 1050.0 427.5 slow 22/10/2020 10:08:50
136 2 405.0 360.0 54.0 427.5 fast 22/10/2020 10:08:50
174 1 336.0 427.5 1461.0 427.5 shoulder 22/10/2020 10:08:52
186 21 270.0 376.875 1017.0 469.6875 slow 22/10/2020 10:08:52
188 18 390.0 438.75 501.0 438.75 medium 22/10/2020 10:08:52
194 17 354.0 416.25 3.0 430.3125 fast 22/10/2020 10:08:53
228 24 330.0 438.75 495.0 444.375 medium 22/10/2020 10:08:54
275 29 315.0 416.25 981.0 430.3125 slow 22/10/2020 10:08:56
282 26 300.0 390.9375 1479.0 427.5 shoulder 22/10/2020 10:08:56
275 28 396.0 388.125 27.0 433.125 fast 22/10/2020 10:08:56
324 33 324.0 376.875 951.0 427.5 slow 22/10/2020 10:08:58
344 34 366.0 430.3125 33.0 435.9375 fast 22/10/2020 10:08:59
353 35 375.0 419.0625 534.0 433.125 medium 22/10/2020 10:08:59
375 36 318.0 396.5625 1152.0 430.3125 slow 22/10/2020 10:09:00
